epoch,phase,train_loss,val_loss
1,pretrain,1.4219456216494242,1.2988764057159423
2,pretrain,0.9861776041984558,0.962547176361084
3,pretrain,0.8109314068158467,1.155813136577606
4,pretrain,0.6922695304552714,0.731150767326355
5,pretrain,0.6019298609892527,0.7224105558395386
6,pretrain,0.5375376786390941,0.6874233412742615
7,pretrain,0.48920081718762715,0.5347370970249176
8,pretrain,0.46030423168341317,0.590951521396637
9,pretrain,0.42076620149612426,0.5974998173713684
10,pretrain,0.39187104149659474,0.627050491809845
11,pretrain,0.3715730012257894,0.4535890736579895
12,pretrain,0.354799004594485,0.40975688529014587
13,pretrain,0.32991974691549936,0.43717960906028747
14,pretrain,0.3196100534995397,0.39627036833763124
15,pretrain,0.3009725793202718,0.44865042304992675
16,pretrain,0.28360652738809583,0.37917431688308717
17,pretrain,0.2777476830482483,0.381594388961792
18,pretrain,0.2708984109560649,0.3784649567604065
19,pretrain,0.2523652877410253,0.4267441778182983
20,pretrain,0.24412289933363596,0.395489675283432
21,pretrain,0.2326121677160263,0.3480746442079544
22,pretrain,0.22863448202610015,0.35225655674934386
23,pretrain,0.2206811866760254,0.33628033769130705
24,pretrain,0.21249651076396306,0.3173836212158203
25,pretrain,0.20945539810260136,0.36671206879615786
26,pretrain,0.20129676746328673,0.3158853285312653
27,pretrain,0.19570274808009466,0.37582243657112124
28,pretrain,0.19466221769650777,0.39203265905380247
29,pretrain,0.1853862095475197,0.3341860752105713
30,pretrain,0.18091144121686617,0.4373823742866516
31,pretrain,0.17943741899728774,0.36486924958229067
32,pretrain,0.1725093216896057,0.3471516044139862
33,pretrain,0.16698078045248985,0.4005582437515259
34,pretrain,0.16649465167522431,0.39298766732215884
35,pretrain,0.1668316409190496,0.3322245296239853
36,pretrain,0.15623937531312307,0.3363085494041443
1,finetune,0.359647901058197,0.2982478029727936
2,finetune,0.33117130144437157,0.28040823924541475
3,finetune,0.3142738064924876,0.2698314779996872
4,finetune,0.3043030755122503,0.2426182919740677
5,finetune,0.26186475110054014,0.2302876628637314
6,finetune,0.23709037152926127,0.22573266875743866
7,finetune,0.21408897097905477,0.22244849264621736
8,finetune,0.2076761863231659,0.21610633409023286
9,finetune,0.19860506041844686,0.21645032918453216
10,finetune,0.18655499386787414,0.21429857504367827
11,finetune,0.17365276424090068,0.21750423657894136
12,finetune,0.16490336108207704,0.21351168870925905
13,finetune,0.15136508619785308,0.21733360040187835
14,finetune,0.14941353404521943,0.2178142592906952
15,finetune,0.14494635919729867,0.2150141770839691
16,finetune,0.13622026610374452,0.21786382043361663
17,finetune,0.1239675214290619,0.21697686421871185
18,finetune,0.12310542770226797,0.21720694041252137
19,finetune,0.11820947233835856,0.21359167695045472
20,finetune,0.1167755784591039,0.21793375611305238
21,finetune,0.11015414841969808,0.21640451443195344
22,finetune,0.10791762653986613,0.21645151257514952
