epoch,phase,train_loss,val_loss
1,pretrain,1.431749647140503,1.3350243492126466
2,pretrain,0.9933195632298787,1.1202185473442077
3,pretrain,0.8011088480949402,0.9324612002372742
4,pretrain,0.6791107165018717,0.7686339478492736
5,pretrain,0.595311683177948,0.661355098247528
6,pretrain,0.5276265515486399,0.6408482530117035
7,pretrain,0.4823359618186951,0.705663608789444
8,pretrain,0.44117421464125317,0.542177276134491
9,pretrain,0.41330870358149213,0.5518113903999329
10,pretrain,0.3839692757924398,0.43215094137191773
1,finetune,0.08414733225107193,0.06889684498310089
2,finetune,0.0820637092590332,0.0682586132287979
3,finetune,0.08010692868630091,0.06796371340751647
4,finetune,0.07712747186422347,0.06282812476158142
5,finetune,0.06918374258279801,0.060444501459598544
6,finetune,0.06383122998476029,0.059881230801343915
7,finetune,0.06209887995322545,0.05920674231648445
8,finetune,0.05739362386862437,0.05928071531653404
9,finetune,0.055171446820100147,0.05853575548529625
10,finetune,0.05198640594879786,0.05940131139755249
11,finetune,0.05141681444644928,0.05702407053112984
12,finetune,0.05015365825096766,0.05843510943651199
13,finetune,0.047661277731259666,0.05833758971095085
14,finetune,0.045766518766681356,0.056909234136343
15,finetune,0.044465122361977895,0.05932011672854424
