epoch,phase,train_loss,val_loss
1,pretrain,1.5172182960510254,1.4038708181381225
2,pretrain,1.0902585825920106,1.0727115788459778
3,pretrain,0.8819122403462728,0.8020882501602172
4,pretrain,0.738850419918696,0.8421632452011109
5,pretrain,0.6389110252857209,0.6275823678970337
6,pretrain,0.5646522571245829,0.636244205236435
7,pretrain,0.5194348533948262,0.6204002332687378
8,pretrain,0.47304102810223897,0.5121996483802795
9,pretrain,0.4401064019203186,0.5152526571750641
10,pretrain,0.4133494576613108,0.6783261880874634
1,finetune,0.4558192845980326,0.39489995551109314
2,finetune,0.4386877710024516,0.3813653702735901
3,finetune,0.4292319409052531,0.3765508913993835
4,finetune,0.41106786489486696,0.32637181317806246
5,finetune,0.3645283991495768,0.3132881144285202
6,finetune,0.343932804663976,0.3108066989183426
7,finetune,0.3209310038884481,0.30434800136089324
8,finetune,0.3088864503701528,0.30718033134937284
9,finetune,0.2972679921388626,0.2977480804920197
10,finetune,0.29258815248807274,0.3008354930877686
11,finetune,0.2648201688925425,0.3033045381307602
12,finetune,0.26003741161028543,0.2969635964632034
13,finetune,0.25342412197589875,0.30462866568565367
14,finetune,0.24226611526807149,0.2955437984466553
15,finetune,0.23154040284951527,0.29114584589004516
