epoch,phase,train_loss,val_loss
1,pretrain,1.4458773361841837,1.599447458267212
2,pretrain,1.0077804438273112,0.9232409391403198
3,pretrain,0.8104444295565287,0.948757152557373
4,pretrain,0.6861672905286154,0.7498184213638306
5,pretrain,0.6012436792055765,0.6327937273979187
6,pretrain,0.5355567030111948,0.5897484879493713
7,pretrain,0.489639271736145,0.6484185590744018
8,pretrain,0.45441773255666096,0.7315027060508728
9,pretrain,0.4211523436705271,0.5228296151161194
10,pretrain,0.39668984019756315,0.5605966534614563
1,finetune,0.42601091758410137,0.36915296339988707
2,finetune,0.4046604078610738,0.3619050421714783
3,finetune,0.4058399620850881,0.35605909848213196
4,finetune,0.37254071633021035,0.3188259565830231
5,finetune,0.3348167817592621,0.3104623202085495
6,finetune,0.3140377169450124,0.29943013727664947
7,finetune,0.29922235528628033,0.29738451790809634
8,finetune,0.27991478331883746,0.29554376256465914
9,finetune,0.2616439696153005,0.2933688620328903
10,finetune,0.2528662427266439,0.3004024361371994
11,finetune,0.24130786267916363,0.2944225857257843
12,finetune,0.23497976326942444,0.29697134006023407
13,finetune,0.2287343753973643,0.3073125809431076
14,finetune,0.21031728021303814,0.29728504121303556
15,finetune,0.20344237939516704,0.2974588862657547
