epoch,phase,train_loss,val_loss
1,pretrain,1.3640800414085388,1.4083260259628296
2,pretrain,0.9022756830851237,0.8113777976036072
3,pretrain,0.724414829492569,0.9073594908714294
4,pretrain,0.6196089227994283,0.8771463613510132
5,pretrain,0.5516286148230235,0.5421632573604583
6,pretrain,0.49805061841011045,0.6762313718795776
7,pretrain,0.4583557426134745,0.5187931654453277
8,pretrain,0.4180493386983871,0.49896825933456423
9,pretrain,0.39383861744403836,0.5118391327857971
10,pretrain,0.36958908100922905,0.5478078932762146
1,finetune,0.4217018390496572,0.37182235181331635
2,finetune,0.418816737651825,0.36175675845146177
3,finetune,0.40653562506039936,0.3585371205806732
4,finetune,0.37220486704508465,0.3009898809194565
5,finetune,0.321211740175883,0.2780401906967163
6,finetune,0.3036381547451019,0.2761769208908081
7,finetune,0.27511543782552084,0.27553773152828215
8,finetune,0.2602089343865712,0.2669882574081421
9,finetune,0.24422471602757773,0.2685166038274765
10,finetune,0.2264192258119583,0.26842834639549257
11,finetune,0.22536634929974875,0.2648135529756546
12,finetune,0.21062930822372436,0.2668944457769394
13,finetune,0.20676261536280313,0.26831363117694856
14,finetune,0.19586216886838279,0.2719321104288101
15,finetune,0.1846669586499532,0.26855993235111236
